hs code,description,tariff rate
2601.11.00,non agglomerated iron ores,5%
2601.12.00,agglomerated iron ores,5%
2601.20.00,roasted iron pyrites,5%
2602.00.00,manganese ores and concentrates,5%
2603.00.11,copper ore sulphide,5%
2603.00.12,copper ore mixed,5%
2603.00.13,copper ore oxide,5%
2603.00.19,other copper ores,5%
2603.00.21,copper concentrate sulphide,5%
2603.00.22,copper concentrate mixed,5%
2603.00.23,copper concentrate oxide,5%
2603.00.29,other copper concentrates,5%
2604.00.00,nickel ores and concentrates,5%
2605.00.10,cobalt ores,0%
2605.00.20,cobalt concentrates,5%
2606.00.00,aluminium ores and concentrates,5%
2607.00.00,lead ores and concentrates,5%
2608.00.00,zinc ores and concentrates,5%
2609.00.00,tin ores and concentrates,5%
2610.00.00,chromium ores and concentrates,5%
2611.00.00,tungsten ores and concentrates,5%
2612.10.00,uranium ores and concentrates,5%
2612.20.00,thorium ores and concentrates,5%
2613.10.00,roasted molybdenum ores and concentrates,5%
2613.90.00,other molybdenum ores and concentrates,5%
2614.00.00,titanium ores and concentrates,5%
2616.10.00,silver ores and concentrates,5%
2616.90.00,precious metal ores and concentrates other than silver,5%
2617.10.00,antimony ores and concentrates,5%
